nr,key,doi,file,status,source
09,Brodeur_2026,10.1038/s41586-026-10251-x,09_Brodeur_2026_Reproducibility-econ-polsci.pdf,ok,Repository Univ. Birmingham (accepted manuscript via OpenAlex); Nature-Version nicht frei
10,Jabouille_2025,10.1101/2025.09.23.25336497,10_Jabouille_2025_Replicability-physio-research.pdf,ok,medRxiv
11,Elghzali_2025,10.1186/s12874-025-02587-1,11_Elghzali_2025_Data-sharing-rehab-journals.pdf,ok,Europe PMC PMC12065141
12,Murphy_2025,10.1007/s40279-025-02201-w,12_Murphy_2025_Replicability-sports-science.pdf,ok,Europe PMC PMC12513899
13,Dhanani_2022,10.1007/s11606-022-07799-5,13_Dhanani_2022_Reproducing-statistics-RCTs.pdf,ok,Europe PMC PMC9708989
14,Ankel-Peters_2025,10.1093/qopen/qoaf004,14_Ankel-Peters_2025_Robustness-reproductions-protocol.pdf,ok,OUP Q Open (gold OA; Browser wegen Cloudflare)
15,Nepomuceno_2026,10.64898/2026.07.15.738584,15_Nepomuceno_2026_Multiverse-uptake-613-studies.pdf,ok,bioRxiv/openRxiv
16,Stodden_2018,10.1073/pnas.1708290115,16_Stodden_2018_Journal-policy-reproducibility.pdf,ok,Europe PMC PMC5856507
17,Siebert_2022,10.1186/s12916-022-02377-2,17_Siebert_2022_EMA-data-sharing-reanalysis.pdf,ok,Europe PMC PMC9119701
18,Tsujimoto_2020,10.1016/j.jclinepi.2019.10.004,18_Tsujimoto_2020_Data-availability-bias-IPD-MA.pdf,ok,"ZHAW-Zugang, manuell"
19,Wicherts_2011,10.1371/journal.pone.0026828,19_Wicherts_2011_Willingness-share-data.pdf,ok,Europe PMC PMC3206853
20,Nuijten_2017,10.1525/collabra.102,20_Nuijten_2017_Data-sharing-policies-Collabra.pdf,ok,UC Press Collabra (gold OA; Browser wegen Cloudflare)
21,Claesen_2023,10.1371/journal.pone.0284243,21_Claesen_2023_Data-sharing-replication-PLOS.pdf,ok,Europe PMC PMC10101414
22,Nosek_2018,10.1073/pnas.1708274114,22_Nosek_2018_Preregistration-revolution.pdf,ok,Europe PMC PMC5856500
23,Simonsohn_2020,10.1038/s41562-020-0912-z,23_Simonsohn_2020_Specification-curve-analysis.pdf,ok,"ZHAW-Zugang, manuell"
24,Bartos_2025,10.48550/arXiv.2511.17064,24_Bartos_2025_Single-dataset-meta-analysis-specifications.pdf,ok,arXiv
25,Girardi_2024,10.1007/s11336-024-09973-6,25_Girardi_2024_PIMA-post-selection-multiverse.pdf,ok,Repository TU Eindhoven (published version via OpenAlex)
26,Hoffmann_2021,10.1098/rsos.201925,26_Hoffmann_2021_Multiplicity-analysis-strategies.pdf,ok,Europe PMC PMC8059606
27,Patel_2015,10.1016/j.jclinepi.2015.05.029,27_Patel_2015_Vibration-of-effects.pdf,ok,PMC4555355 author manuscript (Browser)
28,Klau_2021,10.1093/ije/dyaa164,28_Klau_2021_Vibration-of-effects-observational.pdf,ok,Europe PMC PMC7938511
29,Young_2017,10.1177/0049124115610347,29_Young-Holsteen_2017_Model-uncertainty-robustness.pdf,ok,"ZHAW-Zugang, manuell"
30,Silberzahn_2018,10.1177/2515245917747646,30_Silberzahn_2018_Many-analysts-one-dataset.pdf,ok,Repository UvA-DARE (via OpenAlex)
31,Botvinik-Nezer_2020,10.1038/s41586-020-2314-9,31_Botvinik-Nezer_2020_NARPS.pdf,ok,Repository Univ. Greenwich (accepted manuscript via OpenAlex)
32,Breznau_2022,10.1073/pnas.2203150119,32_Breznau_2022_Many-researchers-same-data.pdf,ok,Europe PMC PMC9636921
33,Gould_2025,10.1186/s12915-024-02101-x,33_Gould_2025_Same-data-different-analysts.pdf,ok,Europe PMC PMC11804095
34,Gelman-Loken_2014,10.1511/2014.111.460,34_Gelman-Loken_2014_Statistical-crisis-in-science.pdf,ok,stat.columbia.edu (Autorenkopie Am Sci 2014)
34a,Gelman-Loken_2013,,34a_Gelman-Loken_2013_Garden-of-forking-paths.pdf,ok,stat.columbia.edu (unpubliziertes Manuskript)
35,vandenAkker_2021,10.15626/mp.2020.2625,35_vandenAkker_2021_Preregistration-secondary-data.pdf,ok,Meta-Psychology (citation_pdf_url)
36,Rafi-Greenland_2020,10.1186/s12874-020-01105-9,36_Rafi-Greenland_2020_S-values.pdf,ok,Europe PMC PMC7528258
37,Greenland_2016,10.1007/s10654-016-0149-3,37_Greenland_2016_P-values-CIs-power.pdf,ok,Europe PMC PMC4877414
38,Wasserstein-Lazar_2016,10.1080/00031305.2016.1154108,38_Wasserstein-Lazar_2016_ASA-statement-p-values.pdf,ok,Taylor & Francis (free access; Browser wegen Cloudflare)
39,Vickers-Altman_2001,10.1136/bmj.323.7321.1123,39_Vickers-Altman_2001_Baseline-follow-up-ANCOVA.pdf,ok,Europe PMC PMC1121605
40,Senn_2006,10.1002/sim.2682,40_Senn_2006_Change-from-baseline-ANCOVA-revisited.pdf,ok,"ZHAW-Zugang, manuell"
41,Twisk_2018,10.1016/j.conctc.2018.03.008,41_Twisk_2018_Treatment-effect-estimation-RCT.pdf,ok,Europe PMC PMC5898524
42,Kahan_2014,10.1186/1745-6215-15-139,42_Kahan_2014_Covariate-adjustment-risks-rewards.pdf,ok,Europe PMC PMC4022337
43,Kahan-Morris_2012,10.1136/bmj.e5840,43_Kahan-Morris_2012_Stratified-randomisation.pdf,ok,Europe PMC PMC3444136
44,Kahan_2024,10.1136/bmj-2023-076316,44_Kahan_2024_Estimands-framework-primer-BMJ.pdf,ok,Repository UCL Discovery (via OpenAlex); DOI ist der Estimands-Primer (BMJ 2024)
45,White_2011,10.1002/sim.4067,45_White_2011_MICE-issues-guidance.pdf,ok,"ZHAW-Zugang, manuell"
46,Vickers_2005,10.1186/1471-2288-5-35,46_Vickers_2005_Parametric-vs-nonparametric.pdf,ok,Europe PMC PMC1310536
47,Carlisle_2017,10.1111/anae.13938,47_Carlisle_2017_Data-fabrication-5087-RCTs.pdf,ok,Wiley (free access; Browser wegen Cloudflare)
48,Carlisle_2021,10.1111/anae.15263,48_Carlisle_2021_Zombie-RCTs.pdf,ok,Wiley (free access; Browser wegen Cloudflare)
49,Bolland_2019,10.1016/j.jclinepi.2019.03.001,49_Bolland_2019_Rounding-baseline-P-values.pdf,ok,Repository AURA Aberdeen (accepted manuscript)
50,Brown-Heathers_2017,10.1177/1948550616673876,50_Brown-Heathers_2016_GRIM-test-preprint.pdf,ok,PeerJ Preprints 2064 (Sage-Version restricted)
51,Wilkinson_2025_JCE,10.1016/j.jclinepi.2025.111824,51_Wilkinson_2025_Trustworthiness-checks-JCE.pdf,ok,medRxiv Preprint v1 (10.1101/2024.11.25.24316905); Elsevier-OA-PDF technisch nicht ladbar
52,Wilkinson_2025_INSPECT-SR,10.1101/2025.09.03.25334905,52_Wilkinson_2025_INSPECT-SR-tool.pdf,ok,medRxiv (keine Nat-Med-Version in Crossref/Europe PMC gefunden)
53,Heal_2026_INSPECT-IPD,10.64898/2026.02.06.26345217,53_Heal_2026_INSPECT-IPD-protocol.pdf,ok,medRxiv/openRxiv
54,ICH_2019_E9R1,,54_ICH_2019_E9R1-Estimands-addendum.pdf,ok,database.ich.org
55,Senn_1994,10.1002/sim.4780131703,55_Senn_1994_Baseline-balance-testing.pdf,ok,"ZHAW-Zugang, manuell"
56,Van_Breukelen_2006,10.1016/j.jclinepi.2006.02.007,56_VanBreukelen_2006_ANCOVA-vs-change-from-baseline.pdf,ok,"ZHAW-Zugang, manuell"
57,Barnett_2005,10.1093/ije/dyh299,57_Barnett_2005_Regression-to-the-mean.pdf,ok,OUP (bronze OA; Browser wegen Cloudflare)
58,Schulz_2010,10.1136/bmj.c332,58_Schulz_2010_CONSORT-2010-statement.pdf,ok,"BMJ (open access; ZHAW-Zugang, manuell für PDF)"
